Date,Day,Time,Customer ID,Name,Age,Gender,Mail ID,Product bought,Size,Sub-category,Category,Actual Price (INR),Discount Percentage,Discount Type,Payment mode,Review,Returned Status,Discount Amount,Revenue,Year,Month,Discount Applied
2024-09-28,Saturday,16:43:00,CUST0187,Nirvi Loyal,29.0,Male,nirviloyal29187@gmail.com,Sneakers,M,Footwear,Shoes,2900.0,0.0,NoDiscount,CARD,"Loved it, will buy again",Kept,0.0,2900.0,2024,9,No
2024-10-25,Friday,12:29:00,CUST0475,Tarini Bhardwaj,49.0,Male,tarinibhardwaj49475@gmail.com,Cargo Pants,L,Bottomwear,Jeans,2500.0,54.0,DiwaliOffer,CASH,"Loved it, will buy again",Kept,1350.0,1150.0,2024,10,Yes
2024-02-07,Wednesday,16:22:00,CUST0365,Piya Comar,37.0,Male,piyacomar37365@gmail.com,Socks,Free,Accessories,Accessories,1900.0,24.0,ValentineDayOffer,CASH,Not as expected,Exchange,456.0,1444.0,2024,2,Yes
2024-09-04,Wednesday,12:24:00,CUST0299,Aarav Chhabra,59.0,Male,aaravchhabra59299@gmail.com,Joggers,L,Bottomwear,Jeans,3000.0,0.0,NoDiscount,CARD,Very stylish,Kept,0.0,3000.0,2024,9,No
2024-10-16,Wednesday,20:49:00,CUST0078,Arhaan Bali,21.0,Male,arhaanbali2178@gmail.com,Sports Shoes,XXL,Footwear,Shoes,5900.0,43.0,DiwaliOffer,UPI,Stitching quality is poor,Return,2537.0,3363.0,2024,10,Yes
2024-04-22,Monday,18:39:00,CUST0077,Hiran Zacharia,37.0,Female,hiranzacharia3777@gmail.com,Barcelona T-shirt,Free,Casual tshirt,Tshirts,2300.0,35.0,SummerSale,CARD,Fits well and comfortable,Kept,805.0,1495.0,2024,4,Yes
2024-08-13,Tuesday,10:23:00,CUST0029,Drishya Butala,32.0,Male,drishyabutala3229@gmail.com,Sports Shoes,L,Footwear,Shoes,4000.0,0.0,NoDiscount,UPI,"Good quality, worth the price",Kept,0.0,4000.0,2024,8,No
2024-07-06,Saturday,17:58:00,CUST0433,Indrans Sengupta,38.0,Male,indranssengupta38433@gmail.com,Pro T-shirt,L,Casual tshirt,Tshirts,2400.0,48.0,Clearance,CARD,Superb fit and feel,Kept,1152.0,1248.0,2024,7,Yes
2024-02-28,Wednesday,16:04:00,CUST0300,Veer Barad,59.0,Male,veerbarad59300@gmail.com,Jordan Brand T-shirt,Free,Casual tshirt,Tshirts,2100.0,27.0,ValentineDayOffer,CASH,Colour faded after wash,Kept,567.0,1533.0,2024,2,Yes
2024-01-08,Monday,14:07:00,CUST0354,Jayan Buch,35.0,Female,jayanbuch35354@gmail.com,Barcelona T-shirt,Free,Casual tshirt,Tshirts,2100.0,46.0,NewYearSale,CARD,Too tight around shoulders,Kept,966.0,1134.0,2024,1,Yes
2024-04-29,Monday,16:39:00,CUST0010,Manikya Chana,32.0,Female,manikyachana3210@gmail.com,Rain Jacket,XXL,Outerwear,Jackets,2700.0,0.0,NoDiscount,CASH,Size runs a bit small,Kept,0.0,2700.0,2024,4,No
2024-07-28,Sunday,12:02:00,CUST0484,Miraan Sem,59.0,Female,miraansem59484@gmail.com,Rain Jacket,XL,Outerwear,Jackets,2300.0,0.0,NoDiscount,CARD,"Good quality, worth the price",Kept,0.0,2300.0,2024,7,No
2024-07-08,Monday,18:47:00,CUST0416,Kimaya Gara,19.0,Female,kimayagara19416@gmail.com,Joggers,XL,Bottomwear,Jeans,2400.0,56.0,Clearance,CARD,Colour faded after wash,Return,1344.0000000000002,1055.9999999999998,2024,7,Yes
2024-11-11,Monday,15:17:00,CUST0106,Parinaaz Srinivasan,40.0,Female,parinaazsrinivasan40106@gmail.com,Tech Fleece T-shirt,M,Casual tshirt,Tshirts,1800.0,0.0,NoDiscount,CASH,Colour faded after wash,Exchange,0.0,1800.0,2024,11,No
2024-07-07,Sunday,17:41:00,CUST0090,Raghav Hayer,32.0,Male,raghavhayer3290@gmail.com,Sportswear Club Fleece T-shirt,L,Casual tshirt,Tshirts,1400.0,0.0,NoDiscount,CASH,Colour faded after wash,Kept,0.0,1400.0,2024,7,No
2024-11-24,Sunday,18:01:00,CUST0091,Ira Yohannan,39.0,Male,irayohannan3991@gmail.com,Tech Fleece T-shirt,M,Casual tshirt,Tshirts,2500.0,0.0,NoDiscount,UPI,Colour faded after wash,Return,0.0,2500.0,2024,11,No
